MWT1,POS1,MWT2,POS2,SWT1,SWT2,Rel
atmosphère respirable,N A,air respirable,N A,atmosphère,air,QSYN
changement du climat,N P N,réchauffement du climat,N P N,changement,réchauffement,QSYN
dégradation majeure,N A,catastrophe majeure,N A,dégradation,catastrophe,QSYN
désertification des sols,N P N,sécheresse des sols,N P N,désertification,sécheresse,QSYN
espèces en région,N P N,espèces des pays,N P N,région,pays,QSYN
lutte contre le déboisement,N P N,lutte contre la dégradation,N P N,déboisement,dégradation,QSYN
région nord,N A,zone nord,N A,région,zone,QSYN
usage collectif,N A,usage public,N A,collectif,public,QSYN
vie sur la planète,N P N,terre vie,N N,planète,terre,QSYN
pénurie de ressources,N P N,raréfaction des ressources,N P N,pénurie,raréfaction,QSYN
appauvrissement des ressources,N P N,raréfaction des ressources,N P N,appauvrissement,raréfaction,QSYN
milieu marin,N A,milieu océanique,N A,marin,océanique,QSYN
citoyens du monde,N P N,citoyens de la terre,N P N,monde,terre,QSYN
accélération de la croissance,N P N,accélération du développement,N P N,croissance,développement,QSYN
climat local,N A,climat régional,N A,local,régional,QSYN
site de planète,N P N,site terre,N N,planète,terre,QSYN
environnement unique,N A,écosystème unique,N A,environnement,écosystème,QSYN
planète conservation,N N,protection de la planète,N P N,conservation,protection,QSYN
impact de la politique,N P N,influence politique,N A,impact,influence,QSYN
activités de reboisement,N P N,activités de boisement,N P N,reboisement,boisement,QSYN
réduction globale,N A,diminution globale,N A,réduction,diminution,QSYN
conservation de la biodiversité,N P N,préservation de la biodiversité,N P N,conservation,préservation,QSYN
origine de la disparition,N P N,origine du déclin,N P N,disparition,déclin,QSYN
dégradation des habitats,N P N,détérioration des habitats,N P N,dégradation,détérioration,QSYN
conservation mondiale,N A,protection mondiale,N A,conservation,protection,QSYN
réduction de la pression,N P N,diminution de la pression,N P N,réduction,diminution,QSYN
augmentation de la productivité,N P N,hausse de la productivité,N P N,augmentation,hausse,QSYN
planète au jour,N P N,jour de la terre,N P N,planète,terre,QSYN
vie dans une région,N P N,vie des pays,N P N,région,pays,QSYN
taux de croissance,N P N,hausse du taux,N P N,croissance,hausse,QSYN
sommet de la planète,N P N,sommet sur la terre,N P N,planète,terre,QSYN
serre au monde,N P N,serre de la planète,N P N,monde,planète,QSYN
situation de dégradation,N P N,situation de catastrophe,N P N,dégradation,catastrophe,QSYN
climat de la région,N P N,pays au climat,N P N,région,pays,QSYN
électricité sans nucléaire,N P N,énergie nucléaire,N A,électricité,énergie,QSYN
notion de protection,N P N,notion de préservation,N P N,protection,préservation,QSYN
valorisation des matériaux,N P N,récupération des matériaux,N P N,valorisation,récupération,QSYN
communauté européenne,N A,population européenne,N A,communauté,population,QSYN
raison de la disparition,N P N,déclin en raison,N P N,disparition,déclin,QSYN
environnement riche,N A,écosystème riche,N A,environnement,écosystème,QSYN
environnement difficile,N A,milieu difficile,N A,environnement,milieu,QSYN
santé du lac,N P N,santé de la mer,N P N,lac,mer,QSYN
secteur collectif,N A,secteur public,N A,collectif,public,QSYN
groupe pour la conservation,N P N,groupe de préservation,N P N,conservation,préservation,QSYN
poumon de la planète,N P N,poumon de la terre,N P N,planète,terre,QSYN
conservation des zones,N P N,préservation des zones,N P N,conservation,préservation,QSYN
monde sauvage,N A,terre sauvage,N A,monde,terre,QSYN
écosystèmes du monde,N P N,écosystèmes de la terre,N P N,monde,terre,QSYN
planète entière,N A,terre entière,N A,planète,terre,QSYN
environnement jean-louis,N N,écologie jean-louis,N N,environnement,écologie,QSYN
dynamique de conservation,N P N,dynamique de protection,N P N,conservation,protection,QSYN
augmentation mondiale,N A,croissance mondiale,N A,augmentation,croissance,QSYN
communauté urbaine,N A,population urbaine,N A,communauté,population,QSYN
contamination environnementale,N A,pollution environnementale,N A,contamination,pollution,QSYN
surface de glace,N P N,surface de la neige,N P N,glace,neige,QSYN
espèces de la zone,N P N,milieu en espèces,N P N,zone,milieu,QSYN
situation de dégradation,N P N,détérioration de la situation,N P N,dégradation,détérioration,QSYN
région du golfe,N P N,pays du golfe,N P N,région,pays,QSYN
communauté nationale,N A,population nationale,N A,communauté,population,QSYN
poursuite de la croissance,N P N,poursuite du développement,N P N,croissance,développement,QSYN
conservation de la nature,N P N,préservation de la nature,N P N,conservation,préservation,QSYN
mobilité des individus,N P N,déplacement des individus,N P N,mobilité,déplacement,QSYN
protection du public,N P N,public à la préservation,N P N,protection,préservation,QSYN
fonte des glaciers,N P N,recul des glaciers,N P N,fonte,recul,QSYN
réduction des besoins,N P N,diminution des besoins,N P N,réduction,diminution,QSYN
croissance continue,N A,hausse continue,N A,croissance,hausse,QSYN
environnement des activités,N P N,activités en milieu,N P N,environnement,milieu,QSYN
déchets dans la région,N P N,déchets dans la zone,N P N,région,zone,QSYN
cause du changement,N P N,cause du réchauffement,N P N,changement,réchauffement,QSYN
incidence néfaste,N A,influence néfaste,N A,incidence,influence,QSYN
monde aux ressources,N P N,ressources de la terre,N P N,monde,terre,QSYN
projets de protection,N P N,projets de préservation,N P N,protection,préservation,QSYN
eau dans le monde,N P N,eau par la terre,N P N,monde,terre,QSYN
eutrophisation des cours,N P N,pollution des cours,N P N,eutrophisation,pollution,QSYN
mode écologique,N A,mode écolo,N N,écologique,écolo,QSYN
effort collectif,N A,effort public,N A,collectif,public,QSYN
augmentation des gaz,N P N,hausse des gaz,N P N,augmentation,hausse,QSYN
villes de la région,N P N,villes dans les pays,N P N,région,pays,QSYN
cause de la disparition,N P N,cause de la perte,N P N,disparition,perte,QSYN
coûts de la conservation,N P N,coûts de protection,N P N,conservation,protection,QSYN
côte basque,N A,littoral basque,N A,côte,littoral,QSYN
fonction de la zone,N P N,fonction du milieu,N P N,zone,milieu,QSYN
désertification au sahel,N P N,sécheresse dans le sahel,N P N,désertification,sécheresse,QSYN
conservation des papillons,N P N,préservation des papillons,N P N,conservation,préservation,QSYN
partie du gaz,N P N,partie du pétrole,N P N,gaz,pétrole,QSYN
conception de la vie,N P N,conception du vivant,N P N,vie,vivant,QSYN
habitat urbain,N A,milieu urbain,N A,habitat,milieu,QSYN
rapport à la conservation,N P N,protection par rapport,N P N,conservation,protection,QSYN
sommet planète,N N,sommet de la terre,N P N,planète,terre,QSYN
électricité solaire,N A,électricité thermique,N A,solaire,thermique,QSYN
temps frais,N A,temps froid,N A,frais,froid,QSYN
disparition de la biodiversité,N P N,extinction de la biodiversité,N P N,disparition,extinction,QSYN
production du photovoltaïque,N P N,production solaire,N A,photovoltaïque,solaire,QSYN
respect de la planète,N P N,respect de la terre,N P N,planète,terre,QSYN
heure pour la planète,N P N,heure pour la terre,N P N,planète,terre,QSYN
chaleur au bois,N P N,énergie bois,N N,chaleur,énergie,QSYN
métiers de la forêt,N P N,métiers du bois,N P N,forêt,bois,QSYN
protection permanente,N A,préservation permanente,N A,protection,préservation,QSYN
recyclage de la matière,N P N,matière de récupération,N P N,recyclage,récupération,QSYN
scénarios de croissance,N P N,scénarios de développement,N P N,croissance,développement,QSYN
beauté de la planète,N P N,beauté de la terre,N P N,planète,terre,QSYN
environnement en région,N P N,environnement dans les pays,N P N,région,pays,QSYN
cas de contamination,N P N,cas de pollution,N P N,contamination,pollution,QSYN
eau dans le lac,N P N,eau dans la mer,N P N,lac,mer,QSYN
facteurs de déboisement,N P N,facteurs de dégradation,N P N,déboisement,dégradation,QSYN
impact des espèces,N P N,incidence sur les espèces,N P N,impact,incidence,QSYN
tiers dans la région,N P N,pays du tiers,N P N,région,pays,QSYN
professionnels de la forêt,N P N,professionnels du bois,N P N,forêt,bois,QSYN
travaux de plantation,N P N,travaux de reboisement,N P N,plantation,reboisement,QSYN
phénomène mondial,N A,événement mondial,N A,phénomène,événement,QSYN
recherche de croissance,N P N,recherche pour le développement,N P N,croissance,développement,QSYN
usines de transformation,N P N,usines de traitement,N P N,transformation,traitement,QSYN
chasseurs dans la région,N P N,chasseurs de la zone,N P N,région,zone,QSYN
concentration des eaux,N P N,teneur des eaux,N P N,concentration,teneur,QSYN
communauté au sein,N P N,population au sein,N P N,communauté,population,QSYN
diminution des stocks,N P N,baisse des stocks,N P N,diminution,baisse,QSYN
environnement porte,N A,écologie porte,N A,environnement,écologie,QSYN
environnement en région,N P N,environnement des pays,N P N,région,pays,QSYN
taux de déboisement,N P N,taux de déforestation,N P N,déboisement,déforestation,QSYN
recyclage des produits,N P N,valorisation des produits,N P N,recyclage,valorisation,QSYN
réduction moyenne,N A,diminution moyenne,N A,réduction,diminution,QSYN
mesures de protection,N P N,mesures de préservation,N P N,protection,préservation,QSYN
extinction massive,N A,perte massive,N A,extinction,perte,QSYN
partie de la communauté,N P N,partie de la population,N P N,communauté,population,QSYN
partie du changement,N P N,partie du réchauffement,N P N,changement,réchauffement,QSYN
évolution du monde,N P N,évolution de la planète,N P N,monde,planète,QSYN
secteur de la forêt,N P N,bois dans le secteur,N P N,forêt,bois,QSYN
océans dans le monde,N P N,océans de la planète,N P N,monde,planète,QSYN
flore terrestre,N A,végétation terrestre,N A,flore,végétation,QSYN
ressources du monde,N P N,ressources de la terre,N P N,monde,terre,QSYN
disparition de la diversité,N P N,perte de diversité,N P N,disparition,perte,QSYN
croissance maximale,N A,hausse maximale,N A,croissance,hausse,QSYN
environnement arctique,N A,milieu arctique,N A,environnement,milieu,QSYN
électricité grâce,N N,grâce au courant,N P N,électricité,courant,QSYN
augmentation importante,N A,croissance importante,N A,augmentation,croissance,QSYN
eau de la planète,N P N,eau sur terre,N P N,planète,terre,QSYN
assainissement collectif,N A,assainissement public,N A,collectif,public,QSYN
zéro contamination,N N,zéro pollution,N N,contamination,pollution,QSYN
dégradation des terres,N P N,désertification des terres,N P N,dégradation,désertification,QSYN
modification du régime,N P N,fluctuation du régime,N P N,modification,fluctuation,QSYN
évolution du monde,N P N,évolution de la terre,N P N,monde,terre,QSYN
réduction notable,N A,diminution notable,N A,réduction,diminution,QSYN
ressources de la région,N P N,ressources des pays,N P N,région,pays,QSYN
intérieur de la zone,N P N,milieu intérieur,N A,zone,milieu,QSYN
pays dans le monde,N P N,pays de la planète,N P N,monde,planète,QSYN
climat dans la région,N P N,pays au climat,N P N,région,pays,QSYN
monde de la beauté,N P N,beauté de la planète,N P N,monde,planète,QSYN
augmentation de la pollution,N P N,croissance de la pollution,N P N,augmentation,croissance,QSYN
dégradation importante,N A,érosion importante,N A,dégradation,érosion,QSYN
protection du monde,N P N,protection de la planète,N P N,monde,planète,QSYN
bout du monde,N P N,bout de la planète,N P N,monde,planète,QSYN
élévation rapide,N A,hausse rapide,N A,élévation,hausse,QSYN
formation à distance,N P N,parcours de formation,N P N,distance,parcours,QSYN
accumulation de glace,N P N,accumulation de neige,N P N,glace,neige,QSYN
électricité biomasse,N N,biomasse en énergie,N P N,électricité,énergie,QSYN
culture propre,N A,culture écologique,N A,propre,écologique,QSYN
rôle de conservation,N P N,rôle dans la préservation,N P N,conservation,préservation,QSYN
flore environnante,N A,végétation environnante,N A,flore,végétation,QSYN
chaleur solaire,N A,énergie solaire,N A,chaleur,énergie,QSYN
partie de la région,N P N,partie du pays,N P N,région,pays,QSYN
protection du parc,N P N,préservation du parc,N P N,protection,préservation,QSYN
électricité biomasse,N N,énergie biomasse,N N,électricité,énergie,QSYN
augmentation réelle,N A,croissance réelle,N A,augmentation,croissance,QSYN
augmentation de la mobilité,N P N,croissance de la mobilité,N P N,augmentation,croissance,QSYN
exigences de conservation,N P N,exigences de la préservation,N P N,conservation,préservation,QSYN
réduction de la vitesse,N P N,diminution de la vitesse,N P N,réduction,diminution,QSYN
contexte de forêt,N P N,bois dans un contexte,N P N,forêt,bois,QSYN
reste de la communauté,N P N,reste de la population,N P N,communauté,population,QSYN
développement de la région,N P N,développement des pays,N P N,région,pays,QSYN
croissance des pays,N P N,développement dans les pays,N P N,croissance,développement,QSYN
valorisation des terres,N P N,récupération des terres,N P N,valorisation,récupération,QSYN
disparition possible,N A,perte possible,N A,disparition,perte,QSYN
mouvement mondial,N A,mouvement planétaire,N A,mondial,planétaire,QSYN
peuples du monde,N P N,peuples de la planète,N P N,monde,planète,QSYN
domaine marin,N A,domaine océanique,N A,marin,océanique,QSYN
réduction de la présence,N P N,diminution de la présence,N P N,réduction,diminution,QSYN
environnement pour un développement,N P N,milieu du développement,N P N,environnement,milieu,QSYN
réduction de la durée,N P N,diminution de la durée,N P N,réduction,diminution,QSYN
diminution considérable,N A,baisse considérable,N A,diminution,baisse,QSYN
ressources dans le monde,N P N,ressources de la planète,N P N,monde,planète,QSYN
co2 de la planète,N P N,co2 sur terre,N P N,planète,terre,QSYN
surconsommation de viande,N P N,consommation de viande,N P N,surconsommation,consommation,QSYN
conservation de la vie,N P N,préservation de la vie,N P N,conservation,préservation,QSYN
défense de la planète,N P N,défense de la terre,N P N,planète,terre,QSYN
phénomène unique,N A,événement unique,N A,phénomène,événement,QSYN
biodiversité de la vie,N P N,biodiversité du vivant,N P N,vie,vivant,QSYN
biosphère du lac,N P N,biosphère de la mer,N P N,lac,mer,QSYN
production solaire,N A,production thermique,N A,solaire,thermique,QSYN
niveau environnemental,N A,niveau écologique,N A,environnemental,écologique,QSYN
individus dans le monde,N P N,individus sur terre,N P N,monde,terre,QSYN
croissance soutenable,N A,développement soutenable,N A,croissance,développement,QSYN
impact des produits,N P N,incidence des produits,N P N,impact,incidence,QSYN
impact co2,N A,influence du co2,N P N,impact,influence,QSYN
face à la croissance,N P N,face à la hausse,N P N,croissance,hausse,QSYN
communes de la région,N P N,communes du pays,N P N,région,pays,QSYN
priorités pour la conservation,N P N,priorités de préservation,N P N,conservation,préservation,QSYN
dégradation des sols,N P N,érosion des sols,N P N,dégradation,érosion,QSYN
développement face,N N,face à une urbanisation,N P N,développement,urbanisation,QSYN
systèmes de conditionnement,N P N,systèmes de traitement,N P N,conditionnement,traitement,QSYN
rapport planète,N N,terre par rapport,N P N,planète,terre,QSYN
eutrophisation des cours,N P N,dégradation en cours,N P N,eutrophisation,dégradation,QSYN
ans de conservation,N P N,ans dans la protection,N P N,conservation,protection,QSYN
phénomène mondial,N A,phénomène planétaire,N A,mondial,planétaire,QSYN
niveau du lac,N P N,niveau de la mer,N P N,lac,mer,QSYN
zones de croissance,N P N,zones de développement,N P N,croissance,développement,QSYN
environnement récepteur,N A,milieu récepteur,N A,environnement,milieu,QSYN
lignes de métro,N P N,lignes de train,N P N,métro,train,QSYN
santé de la zone,N P N,santé du milieu,N P N,zone,milieu,QSYN
nord de la planète,N P N,nord de la terre,N P N,planète,terre,QSYN
conservation de la faune,N P N,préservation de la faune,N P N,conservation,préservation,QSYN
espèces de la forêt,N P N,espèces de bois,N P N,forêt,bois,QSYN
recyclage déchets,N N,déchets avant valorisation,N P N,recyclage,valorisation,QSYN
cas de changement,N P N,cas de perturbation,N P N,changement,perturbation,QSYN
réduction des terres,N P N,diminution des terres,N P N,réduction,diminution,QSYN
ong conservation,N N,ong de protection,N P N,conservation,protection,QSYN
loi sur la conservation,N P N,loi de protection,N P N,conservation,protection,QSYN
planète dans les années,N P N,terre dans les années,N P N,planète,terre,QSYN
culture hors sol,N P N,élevage hors sol,N P N,culture,élevage,QSYN
combustion du gaz,N P N,combustion du pétrole,N P N,gaz,pétrole,QSYN
arbres dans le monde,N P N,arbres de la planète,N P N,monde,planète,QSYN
système global,N A,système planétaire,N A,global,planétaire,QSYN
région au cours,N P N,pays au cours,N P N,région,pays,QSYN
prix du charbon,N P N,pétrole aux prix,N P N,charbon,pétrole,QSYN
réduction de la taille,N P N,diminution de la taille,N P N,réduction,diminution,QSYN
surexploitation minière,N A,exploitation minière,N A,surexploitation,exploitation,QSYN
défense de la vie,N P N,défense du vivant,N P N,vie,vivant,QSYN
réduction des gaz,N P N,diminution des gaz,N P N,réduction,diminution,QSYN
eau du monde,N P N,eau dans la terre,N P N,monde,terre,QSYN
conservation nécessaires,N A,préservation nécessaires,N A,conservation,préservation,QSYN
croissance de la demande,N P N,demande en hausse,N P N,croissance,hausse,QSYN
développement dans les zones,N P N,urbanisation des zones,N P N,développement,urbanisation,QSYN
flotte de véhicules,N P N,véhicules dans le parc,N P N,flotte,parc,QSYN
zone de travail,N P N,travail en milieu,N P N,zone,milieu,QSYN
forêt du vercors,N P N,bois du vercors,N P N,forêt,bois,QSYN
caractère inépuisable,N A,caractère renouvelable,N A,inépuisable,renouvelable,QSYN
réduction générale,N A,diminution générale,N A,réduction,diminution,QSYN
évolution de la flore,N P N,évolution de la végétation,N P N,flore,végétation,QSYN
réchauffement global,N A,réchauffement mondial,N A,global,mondial,QSYN
pénurie de bois,N P N,raréfaction du bois,N P N,pénurie,raréfaction,QSYN
augmentation des tarifs,N P N,hausse des tarifs,N P N,augmentation,hausse,QSYN
ligue de protection,N P N,ligue pour la préservation,N P N,protection,préservation,QSYN
influence positive,N A,rétroaction positive,N A,influence,rétroaction,QSYN
rivières de la région,N P N,rivières du pays,N P N,région,pays,QSYN
contamination des sols,N P N,pollution des sols,N P N,contamination,pollution,QSYN
contexte du changement,N P N,contexte de réchauffement,N P N,changement,réchauffement,QSYN
réseau ferroviaire,N A,réseau routier,N A,ferroviaire,routier,QSYN
électricité au cours,N P N,énergie des cours,N P N,électricité,énergie,QSYN
réserves de charbon,N P N,réserves de pétrole,N P N,charbon,pétrole,QSYN
croissance des revenus,N P N,accroissement des revenus,N P N,croissance,accroissement,QSYN
biodiversité dans la région,N P N,biodiversité dans les pays,N P N,région,pays,QSYN
sol français,N A,sous-sol français,N A,sol,sous-sol,QSYN
beauté du monde,N P N,beauté de la planète,N P N,monde,planète,QSYN
association avec la région,N P N,association pays,N N,région,pays,QSYN
richesses dans le monde,N P N,richesses sur terre,N P N,monde,terre,QSYN
travail de conservation,N P N,protection du travail,N P N,conservation,protection,QSYN
monde futur,N A,futur de la planète,N P N,monde,planète,QSYN
système au monde,N P N,système terre,N N,monde,terre,QSYN
croissance des gaz,N P N,accroissement des gaz,N P N,croissance,accroissement,QSYN
vie sur terre,N P N,vivant sur terre,N P N,vie,vivant,QSYN
diminution progressive,N A,raréfaction progressive,N A,diminution,raréfaction,QSYN
contexte mondial,N A,contexte planétaire,N A,mondial,planétaire,QSYN
objectifs de recyclage,N P N,objectifs de valorisation,N P N,recyclage,valorisation,QSYN
enfouissement déchets,N N,élimination des déchets,N P N,enfouissement,élimination,QSYN
écosystèmes du monde,N P N,écosystèmes de la planète,N P N,monde,planète,QSYN
reboisement des terres,N P N,boisement de terres,N P N,reboisement,boisement,QSYN
chaleur biomasse,N N,biomasse énergie,N N,chaleur,énergie,QSYN
ressources de la forêt,N P N,ressources en bois,N P N,forêt,bois,QSYN
village global,N A,village mondial,N A,global,mondial,QSYN
ressource totale,N A,richesse totale,N A,ressource,richesse,QSYN
degré de conservation,N P N,degré de protection,N P N,conservation,protection,QSYN
lutte contre le déboisement,N P N,lutte contre le défrichement,N P N,déboisement,défrichement,QSYN
capital environnemental,N A,capital écologique,N A,environnemental,écologique,QSYN
fond de la forêt,N P N,fond des bois,N P N,forêt,bois,QSYN
stockage potentiel,N A,potentiel de séquestration,N P N,stockage,séquestration,QSYN
réduction des risques,N P N,diminution des risques,N P N,réduction,diminution,QSYN
risque de changement,N P N,risque de modification,N P N,changement,modification,QSYN
croissance des organismes,N P N,développement des organismes,N P N,croissance,développement,QSYN
sols de la région,N P N,sols dans les pays,N P N,région,pays,QSYN
dynamique de croissance,N P N,développement dynamique,N A,croissance,développement,QSYN
maillage vert,N A,maillage écologique,N A,vert,écologique,QSYN
vie de la forêt,N P N,vie dans les bois,N P N,forêt,bois,QSYN
diminution des précipitations,N P N,baisse des précipitations,N P N,diminution,baisse,QSYN
augmentation potentielle,N A,hausse potentielle,N A,augmentation,hausse,QSYN
vie de la terre,N P N,vivant sur terre,N P N,vie,vivant,QSYN
électricité domestique,N A,énergie domestique,N A,électricité,énergie,QSYN
disparition en raison,N P N,raison de la perte,N P N,disparition,perte,QSYN
espèces de la région,N P N,espèces dans une zone,N P N,région,zone,QSYN
impact sur les espèces,N P N,incidence sur les espèces,N P N,impact,incidence,QSYN
réduction considérable,N A,diminution considérable,N A,réduction,diminution,QSYN
disparition locale,N A,extinction locale,N A,disparition,extinction,QSYN
disparition rapide,N A,déclin rapide,N A,disparition,déclin,QSYN
cas de la région,N P N,cas dans les pays,N P N,région,pays,QSYN
conservation des paysages,N P N,préservation des paysages,N P N,conservation,préservation,QSYN
température de la terre,N P N,température du globe,N P N,terre,globe,QSYN
eau dans la région,N P N,eau dans les pays,N P N,région,pays,QSYN
face à un environnement,N P N,milieu face,N N,environnement,milieu,QSYN
forêts de la région,N P N,forêts dans la zone,N P N,région,zone,QSYN
conservation efficace,N A,préservation efficace,N A,conservation,préservation,QSYN
croissance des gaz,N P N,développement du gaz,N P N,croissance,développement,QSYN
impact des activités,N P N,influence des activités,N P N,impact,influence,QSYN
impact de la hausse,N P N,répercussion de la hausse,N P N,impact,répercussion,QSYN
acidification des eaux,N P N,contamination des eaux,N P N,acidification,contamination,QSYN
combustion du charbon,N P N,combustion du pétrole,N P N,charbon,pétrole,QSYN
sud de la région,N P N,sud dans une zone,N P N,région,zone,QSYN
diminution des rendements,N P N,baisse des rendements,N P N,diminution,baisse,QSYN
processus de dégradation,N P N,processus de désertification,N P N,dégradation,désertification,QSYN
taux de contamination,N P N,taux de pollution,N P N,contamination,pollution,QSYN
coeur de la région,N P N,coeur de la zone,N P N,région,zone,QSYN
zone des eaux,N P N,milieu des eaux,N P N,zone,milieu,QSYN
électricité sans émissions,N P N,énergie sans émissions,N P N,électricité,énergie,QSYN
disparition des forêts,N P N,perte de forêts,N P N,disparition,perte,QSYN
cas du modèle,N P N,cas du scénario,N P N,modèle,scénario,QSYN
valorisation de filières,N P N,filières pour la récupération,N P N,valorisation,récupération,QSYN
contamination humaine,N A,pollution humaine,N A,contamination,pollution,QSYN
conservation du bois,N P N,protection du bois,N P N,conservation,protection,QSYN
marché global,N A,marché mondial,N A,global,mondial,QSYN
réchauffement du globe,N P N,réchauffement de la planète,N P N,globe,planète,QSYN
impact sur le monde,N P N,impact sur la planète,N P N,monde,planète,QSYN
sources de perturbation,N P N,sources de stress,N P N,perturbation,stress,QSYN
bois de la région,N P N,bois dans les pays,N P N,région,pays,QSYN
caractère toxique,N A,caractère nocif,N A,toxique,nocif,QSYN
centrales à charbon,N P N,centrales au gaz,N P N,charbon,gaz,QSYN
modification des habitats,N P N,détérioration des habitats,N P N,modification,détérioration,QSYN
ozone atmosphérique,N A,ozone stratosphérique,N A,atmosphérique,stratosphérique,QSYN
milieu humain,N A,homme sur le milieu,N P N,humain,homme,QSYN
techniques de capture,N P N,techniques de stockage,N P N,capture,stockage,QSYN
zones de circulation,N P N,déplacement des zones,N P N,circulation,déplacement,QSYN
recherche dans la région,N P N,recherche des pays,N P N,région,pays,QSYN
plan local,N A,plan régional,N A,local,régional,QSYN
histoire du monde,N P N,histoire de la terre,N P N,monde,terre,QSYN
origine de la disparition,N P N,origine de la perte,N P N,disparition,perte,QSYN
impact sur la productivité,N P N,influence de la productivité,N P N,impact,influence,QSYN
société de conservation,N P N,société de protection,N P N,conservation,protection,QSYN
flore arbustive,N A,végétation arbustive,N A,flore,végétation,QSYN
développement propre,N A,développement rationnel,N A,propre,rationnel,QSYN
forêts de protection,N P N,préservation des forêts,N P N,protection,préservation,QSYN
atlas mondial,N A,atlas planétaire,N A,mondial,planétaire,QSYN
région capitale,N A,capitale du pays,N P N,région,pays,QSYN
facteurs de changement,N P N,facteurs de perturbation,N P N,changement,perturbation,QSYN
conservation des aires,N P N,protection des aires,N P N,conservation,protection,QSYN
équilibre entre croissance,N P N,équilibre entre le développement,N P N,croissance,développement,QSYN
conservation des ours,N P N,protection des ours,N P N,conservation,protection,QSYN
absence de contamination,N P N,absence de pollution,N P N,contamination,pollution,QSYN
dispositif global,N A,dispositif mondial,N A,global,mondial,QSYN
biodiversité de la région,N P N,biodiversité dans les pays,N P N,région,pays,QSYN
passage de la tempête,N P N,passage du cyclone,N P N,tempête,cyclone,QSYN
droit de la protection,N P N,droit à la préservation,N P N,protection,préservation,QSYN
valorisation de la chaleur,N P N,récupération de la chaleur,N P N,valorisation,récupération,QSYN
zone stérile,N A,milieu stérile,N A,zone,milieu,QSYN
approvisionnement en électricité,N P N,approvisionnement en énergie,N P N,électricité,énergie,QSYN
réduction de la productivité,N P N,diminution de la productivité,N P N,réduction,diminution,QSYN
endroits du monde,N P N,endroits de la planète,N P N,monde,planète,QSYN
message écologique,N A,message écolo,N N,écologique,écolo,QSYN
électricité nucléaire,N A,énergie nucléaire,N A,électricité,énergie,QSYN
habitants de la région,N P N,habitants en zone,N P N,région,zone,QSYN
eau sur la planète,N P N,eau sur terre,N P N,planète,terre,QSYN
acidification des eaux,N P N,eutrophisation des eaux,N P N,acidification,eutrophisation,QSYN
exemple de conservation,N P N,exemple de préservation,N P N,conservation,préservation,QSYN
nature conservation,N N,nature pour la préservation,N P N,conservation,préservation,QSYN
limites du monde,N P N,limites sur une planète,N P N,monde,planète,QSYN
situation de la région,N P N,pays en situation,N P N,région,pays,QSYN
environnement humain,N A,milieu humain,N A,environnement,milieu,QSYN
espèces sur terre,N P N,espèces du globe,N P N,terre,globe,QSYN
efforts de conservation,N P N,efforts de préservation,N P N,conservation,préservation,QSYN
méthodes de valorisation,N P N,méthodes de récupération,N P N,valorisation,récupération,QSYN
sahel désertification,N N,sécheresse dans le sahel,N P N,désertification,sécheresse,QSYN
saccage environnemental,N A,saccage écologique,N A,environnemental,écologique,QSYN
eau dans le monde,N P N,eau sur la planète,N P N,monde,planète,QSYN
feu en forêt,N P N,bois pour le feu,N P N,forêt,bois,QSYN
industrialisation croissante,N A,urbanisation croissante,N A,industrialisation,urbanisation,QSYN
diminution des revenus,N P N,baisse des revenus,N P N,diminution,baisse,QSYN
chaleur nucléaire,N A,énergie nucléaire,N A,chaleur,énergie,QSYN
lutte contre la désertification,N P N,lutte contre la sécheresse,N P N,désertification,sécheresse,QSYN
impact des maladies,N P N,incidence des maladies,N P N,impact,incidence,QSYN
concentration de résidus,N P N,teneur en résidus,N P N,concentration,teneur,QSYN
monde de la biodiversité,N P N,biodiversité sur terre,N P N,monde,terre,QSYN
paix dans le monde,N P N,paix sur terre,N P N,monde,terre,QSYN
sensibilité du climat,N P N,vulnérabilité au climat,N P N,sensibilité,vulnérabilité,QSYN
carbone global,N A,carbone mondial,N A,global,mondial,QSYN
système au monde,N P N,système de la terre,N P N,monde,terre,QSYN
dégradation du monde,N P N,dégradation de la planète,N P N,monde,planète,QSYN
type de croissance,N P N,type de développement,N P N,croissance,développement,QSYN
impact du développement,N P N,incidence sur le développement,N P N,impact,incidence,QSYN
forêts de plantation,N P N,reboisement des forêts,N P N,plantation,reboisement,QSYN
nature du sol,N P N,nature du sous-sol,N P N,sol,sous-sol,QSYN
croissance des inégalités,N P N,hausse des inégalités,N P N,croissance,hausse,QSYN
financement global,N A,financement mondial,N A,global,mondial,QSYN
possibilités de croissance,N P N,possibilités de développement,N P N,croissance,développement,QSYN
conservation des stocks,N P N,protection des stocks,N P N,conservation,protection,QSYN
technologies de transformation,N P N,technologies de traitement,N P N,transformation,traitement,QSYN
gaz conventionnel,N A,pétrole conventionnel,N A,gaz,pétrole,QSYN
monde sans pétrole,N P N,pétrole de la terre,N P N,monde,terre,QSYN
augmentation du prix,N P N,prix à la hausse,N P N,augmentation,hausse,QSYN
rapport sur le changement,N P N,rapport sur le réchauffement,N P N,changement,réchauffement,QSYN
cours dans la région,N P N,pays au cours,N P N,région,pays,QSYN
capture de co2,N P N,stockage du co2,N P N,capture,stockage,QSYN
bassin du lac,N P N,bassin de la mer,N P N,lac,mer,QSYN
transformation du poisson,N P N,traitement du poisson,N P N,transformation,traitement,QSYN
